# Selected Cruise Lines (Company-Focused Shortlist)

| Cruise line (brand) | Parent company / group | Status | Headquarters (country) | Primary market/region |
|---|---|---|---|---|
| Carnival Cruise Line | Carnival Corporation & plc | Active | United States | North America, Caribbean |
| Princess Cruises | Carnival Corporation & plc | Active | United States | North America, Alaska, Asia |
| Holland America Line | Carnival Corporation & plc | Active | United States | Alaska, Caribbean, Europe |
| Norwegian Cruise Line | Norwegian Cruise Line Holdings | Active | United States | North America, Caribbean |
| Oceania Cruises | Norwegian Cruise Line Holdings | Active | United States | Premium worldwide |
| Regent Seven Seas Cruises | Norwegian Cruise Line Holdings | Active | United States | Luxury worldwide |
| Royal Caribbean International | Royal Caribbean Group | Active | United States | Worldwide mass-market |
| Celebrity Cruises | Royal Caribbean Group | Active | United States | Premium worldwide |
| Silversea Cruises | Royal Caribbean Group | Active | Monaco | Luxury worldwide |
| MSC Cruises | MSC Group | Active | Switzerland | Europe, worldwide |
| Costa Cruises | Carnival Corporation & plc | Active | Italy | Europe, Mediterranean |
| AIDA Cruises | Carnival Corporation & plc | Active | Germany | German-speaking market |
| P&O Cruises (UK) | Carnival Corporation & plc | Active | United Kingdom | UK market |
| Cunard Line | Carnival Corporation & plc | Active | United Kingdom | Transatlantic & voyages |
| Viking Ocean Cruises | Viking | Active | Switzerland | Adults-focused worldwide |
