# United States Conflicts — Coalition and Partner Participation (Selected)

| Conflict | Years | US Role | Coalition/Partners Listed | Mandate/Framework |
|---|---|---|---|---|
| Korean War | 1950–1953 | UN Command contributor | South Korea, UK, Canada, Australia | United Nations |
| Vietnam War | 1964–1973 (major US combat) | Major combatant | South Vietnam, Australia, South Korea | SEATO context |
| Gulf War | 1990–1991 | Lead | UK, Saudi Arabia, France, Egypt | UN Security Council |
| Afghanistan War | 2001–2021 | Lead | NATO ISAF partners | NATO/ISAF |
| Iraq War | 2003–2011 | Lead | UK, Poland, Australia | Multinational Force |
| Libya intervention | 2011 | Air/sea support | France, UK, Italy | NATO/UN |
| Anti-ISIS campaign | 2014–present | Air/advise | France, UK, Iraq, SDF partners | CJTF-OIR |
| Yemen operations (support) | 2015–2020 | Support | Saudi-led coalition | Bilateral support |
| Red Sea maritime security | 2023–present | Naval lead | UK, Bahrain, others | Combined Maritime Forces |
