# Country-by-Country Travel Vaccine Checklist (Entry Requirements vs Recommendations)

| Country | Vaccine | Status (Required/Recommended) | Practical Planning Detail |
| --- | --- | --- | --- |
| Kenya | Yellow fever | Required | May be required for entry and commonly requested on arrival/for onward travel depending on itinerary |
| Kenya | Hepatitis A | Recommended | Consider for most travelers |
| Kenya | Typhoid | Recommended | Consider for food/water exposure |
| Kenya | Rabies | Recommended | Higher priority for safaris/remote travel/animal contact |
| Indonesia | Hepatitis A | Recommended | Common travel recommendation |
| Indonesia | Typhoid | Recommended | Consider if visiting smaller cities/rural areas |
| Indonesia | Tetanus/diphtheria booster | Recommended | Keep routine boosters up to date |
| South Africa | Hepatitis A | Recommended | Often advised for travelers |
| South Africa | Typhoid | Recommended | Consider for extended stays or higher-risk food/water exposure |
| South Africa | Yellow fever | Required | Required if arriving from a yellow-fever-risk country (transit/previous travel can matter) |
| Peru | Yellow fever | Recommended | Consider for Amazon basin and certain inland regions |
| Peru | Hepatitis A | Recommended | Food/water exposure risk |
| Peru | Typhoid | Recommended | Consider for rural travel or long stays |
| Egypt | Hepatitis A | Recommended | Common travel vaccine |
| Egypt | Typhoid | Recommended | Consider for food/water exposure |
| Egypt | Polio (booster) | Recommended | Sometimes advised for travelers depending on outbreaks/itinerary |
