# Common Pain Medications and the Types of Pain They Treat

| Drug class | Medicine (generic) | Common brand examples | Pain types/indications (pain-relief use) | Typical pain-relief role/notes |
| --- | --- | --- | --- | --- |
| Non-opioid analgesic | Acetaminophen (paracetamol) | Tylenol, Panadol | Mild–moderate headache, musculoskeletal pain, osteoarthritis pain, fever-related aches | First-line for many mild pains; not anti-inflammatory |
| NSAID | Ibuprofen | Advil, Motrin | Inflammatory pain (sprains/strains), menstrual cramps, dental pain, headache | Anti-inflammatory and analgesic; often used short-term |
| NSAID | Naproxen | Aleve, Naprosyn | Arthritis pain, tendonitis/bursitis, menstrual cramps, back pain | Longer-acting NSAID for sustained pain control |
| NSAID | Diclofenac (oral/topical) | Voltaren, Cataflam | Osteoarthritis joint pain (esp. topical), acute musculoskeletal pain | Topical forms target localized joint pain |
| COX-2 selective NSAID | Celecoxib | Celebrex | Osteoarthritis pain, rheumatoid arthritis pain, ankylosing spondylitis pain | Anti-inflammatory analgesic option for chronic inflammatory pain |
| Opioid (weak/atypical) | Tramadol | Ultram, ConZip | Moderate pain when non-opioids are inadequate (e.g., acute injury pain) | Opioid-like analgesic; used when escalation is needed |
| Opioid | Oxycodone | OxyContin, Roxicodone | Severe acute pain (post-op), severe injury pain | Strong analgesic; typically reserved for severe pain |
| Neuropathic pain agent (anticonvulsant) | Gabapentin | Neurontin | Neuropathic pain (postherpetic neuralgia), diabetic neuropathy pain | Treats nerve pain; not for typical inflammatory pain |
| Neuropathic pain agent (antidepressant) | Duloxetine | Cymbalta | Neuropathic pain, chronic musculoskeletal pain, fibromyalgia pain | Useful for chronic pain syndromes with neuropathic features |
| Topical local anesthetic | Lidocaine (topical patch/gel) | Lidoderm | Localized neuropathic pain (e.g., postherpetic neuralgia), focal pain areas | Numbs painful area; commonly used for localized nerve pain |
| Migraine-specific (triptan) | Sumatriptan | Imitrex | Acute migraine headache pain | Migraine abortive; not used for non-migraine pain |
| Adjuvant (muscle relaxant) | Cyclobenzaprine | Flexeril | Pain with acute muscle spasm (neck/back spasm) | Helps spasm-related pain; not a primary analgesic alone |
