# Major Human Hormones  Production Sites and Primary Effects

| Hormone | Primary production site(s) | Main target(s) | Primary effect(s) | Typical stimulus for release |
|---|---|---|---|---|
| Insulin | Pancreatic β cells (islets) | Liver, muscle, adipose | Lowers blood glucose (↑ uptake, ↑ glycogen & fat synthesis) | Elevated blood glucose, incretins |
| Glucagon | Pancreatic α cells (islets) | Liver, adipose | Raises blood glucose (↑ glycogenolysis, ↑ gluconeogenesis) | Low blood glucose, sympathetic activity |
| Cortisol | Adrenal cortex (zona fasciculata) | Many tissues | Stress response; ↑ blood glucose; anti-inflammatory; protein catabolism | ACTH; stress; circadian rhythm |
| Aldosterone | Adrenal cortex (zona glomerulosa) | Kidney distal nephron | ↑ Na+ reabsorption, ↑ K+ excretion → ↑ blood volume/BP | Angiotensin II, high K+ |
| Thyroxine (T4) / Triiodothyronine (T3) | Thyroid follicular cells | Most tissues | ↑ basal metabolic rate; growth & CNS development support | TSH stimulation |
| Parathyroid hormone (PTH) | Parathyroid chief cells | Bone, kidney, intestine (via calcitriol) | ↑ blood Ca2+ (bone resorption; ↑ renal Ca2+ reabsorption) | Low serum Ca2+ |
| Antidiuretic hormone (ADH, vasopressin) | Hypothalamus (released from posterior pituitary) | Kidney collecting ducts, vessels | ↑ water reabsorption; vasoconstriction at high levels | High plasma osmolality; low volume/BP |
| Oxytocin | Hypothalamus (released from posterior pituitary) | Uterus, mammary glands | Uterine contractions; milk ejection | Cervical stretch; suckling |
| Growth hormone (GH) | Anterior pituitary somatotrophs | Liver, bone, muscle | Growth (via IGF-1); lipolysis; ↑ blood glucose | GHRH, sleep, exercise; inhibited by somatostatin |
| Prolactin | Anterior pituitary lactotrophs | Mammary glands | Milk production/maintenance; suppresses GnRH | Suckling; inhibited by dopamine |
| Epinephrine (adrenaline) | Adrenal medulla chromaffin cells | Heart, vessels, liver, muscle | “Fight-or-flight”: ↑ HR/contractility; ↑ glucose availability | Sympathetic stimulation |
| Erythropoietin (EPO) | Kidney interstitial cells | Bone marrow | ↑ RBC production | Low blood O2 (hypoxia) |
