# Airline Fleet Snapshot (Selected Carriers) — Aircraft Types, Counts, and Status

| Airline | Aircraft type | In service | On order | Stored/parked | Notes |
| --- | --- | ---:| ---:| ---:| --- |
| Aurora Skies Airlines | Airbus A220-300 | 12 | 0 | 0 | Primary short-haul fleet |
| Aurora Skies Airlines | Airbus A321neo | 8 | 6 | 0 | Growth program for high-density routes |
| Aurora Skies Airlines | Boeing 787-9 | 4 | 2 | 0 | Long-haul network |
| Baltic Sun Air | Boeing 737-800 | 18 | 0 | 2 | Two frames parked seasonally |
| Baltic Sun Air | Boeing 737 MAX 8 | 6 | 10 | 0 | Replacing older 737NGs |
| Coastal Connect | ATR 72-600 | 14 | 2 | 0 | Regional turboprop operation |
| Coastal Connect | Embraer E190 | 9 | 0 | 1 | One aircraft stored pending heavy check |
| Desert Pearl Airways | Airbus A330-200 | 5 | 0 | 0 | Medium/long-haul |
| Desert Pearl Airways | Boeing 777-300ER | 7 | 0 | 0 | Flagship long-haul |
| Desert Pearl Airways | Boeing 787-10 | 0 | 5 | 0 | First deliveries expected next year |
