# Median LSAT (Middle Score) Comparison for Law Schools — Public vs. Private Snapshot (Entering Class 2022)

| Sector | Law School | City/State | Median LSAT |
| --- | --- | --- | --- |
| Private | Georgetown University Law Center | Washington, DC | 168 |
| Private | Northwestern Pritzker School of Law | Chicago, IL | 170 |
| Private | Cornell Law School | Ithaca, NY | 169 |
| Private | Washington University School of Law | St. Louis, MO | 169 |
| Public | University of California, Berkeley School of Law | Berkeley, CA | 169 |
| Public | University of Texas School of Law | Austin, TX | 167 |
| Public | University of North Carolina School of Law | Chapel Hill, NC | 165 |
| Public | University of Georgia School of Law | Athens, GA | 165 |
| Public | University of Minnesota Law School | Minneapolis, MN | 165 |
| Public | Arizona State University Sandra Day O'Connor College of Law | Tempe, AZ | 166 |
