# Super Smash Bros. Melee — Unlockable Fighters Checklist (Primary Methods and Where the Challenge Appears)

| Character (Playable) | Unlock Trigger Type | Requirement (What to do) | Mode / Area | VS Matches Needed (if applicable) | Challenge / Unlock Location (where you fight them) |
| --- | --- | --- | --- | --- | --- |
| Luigi | VS match count | Play a set number of VS matches | VS Mode | 800 | Mushroom Kingdom (fight Luigi) |
| Dr. Mario | VS match count | Play a set number of VS matches | VS Mode | 100 | Princess Peach’s Castle (fight Dr. Mario) |
| Falco | Special Melee challenge OR VS match count | Clear 100-Man Melee **or** reach the VS match threshold | Special Melee / VS Mode | 300 (if using match count) | Battlefield (fight Falco) |
| Jigglypuff | 1P completion | Clear 1P Mode (Classic) once | 1P Mode (Classic) | — | Dream Land (fight Jigglypuff) |
| Marth | 1P completion | Clear 1P Mode (Classic) on any difficulty | 1P Mode (Classic) | — | Final Destination (fight Marth) |
| Young Link | Adventure completion | Finish Adventure Mode | Adventure Mode | — | Great Bay (fight Young Link) |
| Mewtwo | Time played | Accumulate enough total play time (standard requirement) | Any (time tracked) | — | Final Destination (fight Mewtwo) |
| Mr. Game & Watch | Roster completion | Unlock the other hidden fighters (then he appears) | Unlock chain | — | Flat Zone (fight Mr. Game & Watch) |
| Pichu | Event progress | Clear a block of Event Matches (standard unlock route) | Event Match | — | Pokémon Stadium (fight Pichu) |
| Ganondorf | Event / 1P progress OR VS match count | Complete a specific late Event Match line **or** reach the VS match threshold | Event Match / VS Mode | 600 (if using match count) | Final Destination (fight Ganondorf) |
