# Country-Specific Travel Immunization Status for Brazil (Traveler Guidance)

| Vaccine / Immunization | Travel Requirement Status | Advised for Most Travelers | Advised for Higher-Risk Travelers / Itineraries | Destination/Itinerary Triggers |
| --- | --- | --- | --- | --- |
| Yellow Fever | Not generally required (May be required by other countries after visiting Brazil) | Often advised | Yes | Travel to YF risk regions; some onward destinations require proof after Brazil |
| Hepatitis A | Not required | Yes | Yes | Food/water exposure anywhere; higher priority for adventurous eating |
| Typhoid | Not required | Consider | Yes | Rural areas, smaller cities, longer stays, higher exposure to local food/water |
| Hepatitis B | Not required | Consider | Yes | Long stays, medical/dental procedures, tattoos/piercings, sexual exposure |
| Rabies (pre-exposure) | Not required | Usually no | Yes | Remote travel, wildlife/animal contact, caving, limited access to medical care |
| Measles-Mumps-Rubella (MMR) | Not required | Yes (if not immune) | Yes | Crowded events, group travel; check routine coverage before departure |
| Tetanus-Diphtheria-Pertussis (Tdap/Td) | Not required | Yes (up to date) | Yes | Injuries, outdoor activities; ensure boosters current |
| Influenza | Not required | Consider | Yes | Peak season, cruise/group tours, chronic conditions |
| Malaria prophylaxis (non-vaccine) | Not applicable (No entry requirement) | No | Yes | Specific endemic zones; medication decision depends on region (not a vaccine) |
| COVID-19 | Not generally required (policy varies) | Consider (up to date) | Yes | Requirements can change; check current carrier/entry rules before departure |
