# Major Egyptian Deities  Domains and Primary Cult Centers

| Deity | Domain/Role | Main cult center | Region |
| --- | --- | --- | --- |
| Amun | Hiddenness, air | Karnak Temple | Thebes |
| Ra | Sun | Heliopolis | Lower Egypt |
| Ptah | Creation, craftsmen | Memphis | Lower Egypt |
| Osiris | Underworld, rebirth | Abydos | Upper Egypt |
| Hathor | Love, joy | Dendera | Upper Egypt |
| Horus | Kingship, sky | Edfu | Upper Egypt |
| Neith | Weaving, war | Sais | Delta |
| Sobek | Crocodiles, Nile power | Kom Ombo | Upper Egypt |
| Khnum | Nile source, pottery | Elephantine | Upper Egypt |
| Bastet | Protection, fertility | Bubastis | Delta |
