# Top Airlines by Total Revenue (Selected Years, USD billions)

| Rank | Airline / Airline Group | Region | Reporting year | Total revenue (USD bn) | Revenue source type | Comments |
| --- | --- | --- | --- | ---: | --- | --- |
| 1 | Delta Air Lines | North America | 2023 | 58.0 | Total operating revenue | Full-year consolidated |
| 2 | United Airlines Holdings | North America | 2023 | 53.7 | Total operating revenue | Full-year consolidated |
| 3 | American Airlines Group | North America | 2023 | 52.8 | Total operating revenue | Full-year consolidated |
| 4 | Lufthansa Group | Europe | 2023 | 39.4 | Total revenue | Passenger + cargo + other |
| 5 | Emirates Group | Middle East | 2022/23 | 32.6 | Total revenue | Includes dnata segment |
| 6 | International Airlines Group (IAG) | Europe | 2023 | 31.0 | Total revenue | Multi-brand holding company |
| 7 | Air France–KLM Group | Europe | 2023 | 30.0 | Total revenue | Group consolidated |
| 8 | Qatar Airways Group | Middle East | 2022/23 | 21.0 | Total revenue | Group consolidated |
| 9 | Turkish Airlines (THY) | Europe/Asia | 2023 | 20.9 | Total revenue | Includes cargo operations |
| 10 | ANA Holdings | Asia-Pacific | 2023 | 14.8 | Operating revenue | Parent of ANA and Peach |
| 11 | Singapore Airlines Group | Asia-Pacific | 2023/24 | 14.6 | Total revenue | Group consolidated |
| 12 | Qantas Group | Asia-Pacific | 2023 | 13.3 | Total revenue | Includes Jetstar |
