# Timeline of Indian history
> 15 th century

| Year | Date | Event |
| --- | --- | --- |
| 1401 |  | Dilawar Khan establishes the Malwa Sultanate in present-day northern India |
| 1407 |  | Zafar Khan: governor of Gujarat, declares himself as Sultan Muzaffar Shah founding the Gujarat Sultanate / Muzaffarid dynasty |
| 1414 |  | Khizr Khan , deputized by Timur to be the governor of Multan takes over Delhi founding the Sayyid dynasty |
| 1424 |  | Deva Raya II succeeded his father Veera Vijaya Bukka Raya as monarch of the Vijayanagara Empire |
| 1443 |  | Abdur Razzaq visits India |
| 1446 |  | Mallikarjuna Raya succeeds his father Deva Raya II |
| 1451 | 19 April | Bahlul Khan Lodhi ascends the throne of the Delhi sultanate starting the Lodhi dynasty |
| 1469 | 15 April | Guru Nanak , the founder of Sikhism is born |
| 1483 | 14 February | Birth of Babur in Andijan , Fergana Valley in Central Asia |
| 1485 |  | Saluva Narasimha Deva Raya drives out Praudha Raya ending the Sangama Dynasty |
| 1486 |  | Advent of Chaitanya Mahaprabhu , founder of Gaudiya Vaishnavism and leader of the world's first civil disobedience movement, in Navadwip , West Bengal |
| 1490 |  | Ahmadnagar declares independence, followed by Bijapur and Berar in the same year thus breaking up the Bahmani Sultanate . |
| 1494 | 9 June | Babur becomes the King |
| 1498 | 20 May | Vasco de Gama 's first voyage from Europe to India and back (to 1499) |
