# Super Smash Bros. — Trophy Checklist by Fighter and Collection Requirements

| Fighter | Trophy count | How to obtain trophies | Matches to earn (est.) | RNG/Shop notes |
|---|---:|---|---:|---|
| Link | 3 | Clear Classic/All-Star/Adventure | 40 | Often appears in Trophy Shop |
| Captain Falcon | 3 | Clear Classic/All-Star/Adventure | 35 | Can drop in Lottery |
| Sheik | 3 | Clear Classic/All-Star/Adventure | 45 | Sometimes requires multiple runs |
| Rosalina | 3 | Clear Classic/All-Star/Adventure | 55 | Higher drop variance |
| Ness | 3 | Clear Classic/All-Star/Adventure | 30 | Common shop rotation |
| Cloud | 3 | Clear Classic/All-Star/Adventure | 60 | DLC set may be separate |
| Ryu | 3 | Clear Classic/All-Star/Adventure | 50 | DLC trophy bundle |
| Dr. Mario | 3 | Clear Classic/All-Star/Adventure | 25 | Usually easy to complete |
| Falco | 3 | Clear Classic/All-Star/Adventure | 28 | Appears after several clears |
| Ganondorf | 3 | Clear Classic/All-Star/Adventure | 70 | Often late in collection |
