# Chronic Disease Risk Matrix  Lifestyle Exposures and Long-Term Outcomes

| Exposure | Primary pathway (non-infectious) | Short-term effect | Long-term disease risk | Example measurement | Notes |
|---|---|---|---|---|---|
| Cigarette smoking | Inhaled toxins | Cough, bronchitis | Lung cancer, COPD, stroke | Pack-years | Dose-response |
| Alcohol misuse | Hepatic metabolism | Intoxication | Cirrhosis, pancreatitis | AUDIT score | Social factors |
| High-salt diet | Dietary intake | Fluid retention | Hypertension, stroke | mg/day sodium | Processed food |
| Sedentary behavior | Low energy expenditure | Weight gain | Type 2 diabetes | Steps/day | Workplace patterns |
| Air pollution (PM2.5) | Inhalation | Wheeze | Cardiovascular disease | µg/m³ | Urban hotspots |
| UV exposure | Radiation damage | Sunburn | Melanoma | UV index | Outdoor workers |
| High LDL cholesterol | Lipid deposition | null | Atherosclerosis | mg/dL | Genetics + diet |
| Chronic stress | Neuroendocrine | Sleep issues | Depression, CVD | Cortisol | Workload |
| Lead exposure | Neurotoxicity | Abdominal pain | Cognitive impairment | Blood lead | Old housing |
| Poor sleep | Circadian disruption | Fatigue | Obesity, diabetes | Hours/night | Shift work |
