# Venomous Snakes of Georgia (USA) — Statewide Distribution by Region

| Scientific name | Common name | Primary in-state range (Georgia) | Key counties/landscape cues | Notes |
| --- | --- | --- | --- | --- |
| Agkistrodon contortrix | Eastern copperhead | Statewide except much of the outer coastal islands | Piedmont suburbs, wooded edges, creek bottoms | One of the most commonly encountered venomous snakes |
| Agkistrodon piscivorus | Cottonmouth (water moccasin) | Coastal Plain & river floodplains; less common in upper Piedmont | Swamps, slow rivers, wetlands | Highest encounter likelihood near water |
| Crotalus adamanteus | Eastern diamondback rattlesnake | Lower Coastal Plain; southeastern sandhills & pine flatwoods | Longleaf pine wiregrass, palmetto flats | Uncommon; strongly tied to intact coastal habitats |
| Crotalus horridus | Timber rattlesnake | Mountains & much of Piedmont; scattered into upper Coastal Plain | Ridge-and-valley forests, rocky slopes | More likely in mature forests away from heavy development |
| Sistrurus miliarius | Pygmy rattlesnake | Coastal Plain & southern Piedmont | Brushy edges, flatwoods, marsh margins | Small species; can be locally common |
| Micrurus fulvius | Eastern coral snake | Southern Coastal Plain (localized) | Sandhills, pine scrub, debris/leaf litter | Secretive; encounters tend to be rare |
| Crotalus scutulatus | Mojave rattlesnake | Not established / no confirmed resident populations | N/A | Included to clarify absence for state-to-state comparison |
| Crotalus atrox | Western diamondback rattlesnake | Not present | N/A | Helps avoid confusion with western states |
| Agkistrodon contortrix mokasen | Northern copperhead (subspecies) | Northern half (mountains/Piedmont focus) | Appalachian foothills, forested ravines | Regional form often referenced in local guides |
