# U.S. Senate Control Timeline by Congress (Including Control Changes and Governing Party)

| Congress | Years | Senate Control (Majority/Caucus) | President's Party | Control Change vs. Prior Congress? | Brief Context |
|---|---|---|---|---|---|
| 107th | 2001–2003 | Democratic (caucus control) | Republican | Yes | Party switch during the Congress produced Democratic control |
| 108th | 2003–2005 | Republican | Republican | Yes | GOP retakes majority for the next Congress |
| 109th | 2005–2007 | Republican | Republican | No | Continued Republican control |
| 110th | 2007–2009 | Democratic | Republican | Yes | Democrats win majority entering 110th |
| 111th | 2009–2011 | Democratic | Democratic | No | Democratic control continues |
| 112th | 2011–2013 | Democratic | Democratic | No | Democrats retain Senate despite House changes |
| 113th | 2013–2015 | Democratic | Democratic | No | Democratic majority remains |
| 114th | 2015–2017 | Republican | Democratic | Yes | GOP gains Senate majority |
| 115th | 2017–2019 | Republican | Republican | No | Republican control continues |
| 116th | 2019–2021 | Republican | Republican/Democratic | No | GOP holds Senate through the Congress |
| 117th | 2021–2023 | Democratic (50–50, VP tie-break) | Democratic | Yes | Democrats control with tie-break advantage |
| 118th | 2023–2025 | Democratic | Democratic | No | Democrats retain majority (narrow) |
