# Healthy Meal Costs by City (Typical Lunch Dinner Items)

| Location | Item Type | Specific Item | Portion / Notes | Price (USD) |
| --- | --- | --- | --- | --- |
| New York City, NY | Salad bowl | Chicken quinoa salad bowl | mixed greens, quinoa, roasted veg | $12–$16 |
| New York City, NY | Breakfast | Greek yogurt parfait | yogurt + berries + granola | $6–$9 |
| New York City, NY | Smoothie | Green smoothie | spinach, banana, protein add-in | $9–$13 |
| Austin, TX | Burrito/bowl | Brown rice veggie bowl | black beans, fajita veg, salsa | $9–$12 |
| Austin, TX | Sandwich | Turkey avocado whole-grain sandwich | includes side salad | $10–$14 |
| Austin, TX | Snack | Hummus + veggie cup | carrots, cucumbers, hummus | $4–$6 |
| Chicago, IL | Plate | Grilled salmon plate | salmon + quinoa + greens | $16–$22 |
| Chicago, IL | Soup/salad | Lentil soup + side salad | lunch combo | $10–$14 |
| Chicago, IL | Breakfast | Egg-white veggie wrap | spinach, peppers, whole-wheat wrap | $6–$9 |
| Seattle, WA | Poke-style bowl | Tofu poke bowl | brown rice, seaweed salad | $13–$18 |
| Seattle, WA | Oatmeal | Steel-cut oats bowl | nuts + fruit topping | $5–$8 |
| Seattle, WA | Snack | Mixed nuts (single-serve) | ~2 oz pack | $2–$4 |
